blocks,axes
"[[-42490.87329161912, 40503.43293895208, 41733.366720685895, -199.99999999930387, 199.99999999923793, 158.68859922817623], [-43642.264289302126, 43653.09030752581, 41704.324438002775, -179.99999999704082, 179.99999998015693, 159.11331167974546]]","(1:1:12,)"
"[[-43490.873291615644, 41503.43293894827, 42526.80971682678, -199.99999999965726, 199.9999999992967, 158.83322620374713], [-44542.26428928733, 44553.090307426595, 42499.890996401504, -179.99999999789696, 179.99999999000474, 159.17332015459243]]","(1:1:12,)"
"[[-44490.87329161393, 42503.43293894475, 43320.97584784551, -199.99999999979303, 200.00000000019466, 158.96118553964425], [-45442.26428927681, 45453.09030737662, 43295.757597174466, -180.00000000202914, 179.99999998997254, 159.22475928420832]]","(1:1:12,)"
"[[-45490.873291612894, 43503.43293894573, 44115.781775543735, -199.99999999994506, 199.99999999960556, 159.0698906392462], [-46342.264289286955, 46353.09030732648, 44091.88139359551, -179.99999998839914, 179.99999998999485, 159.26633580661408]]","(1:1:12,)"
"[[-46490.87329161262, 44503.432938943755, 44911.13122873996, -199.99999999997564, 200.0000000005953, 159.1589514152569], [-47242.26428922895, 47253.090307276456, 44888.21307262858, -179.9999999968634, 180.0000000239542, 159.29785471519034]]","(1:1:12,)"
"[[-47490.87329161249, 45503.43293894673, 45706.92598581625, -200.00000000070395, 199.9999999998888, 159.22780145651092], [-48142.26428921327, 48153.090307396225, 45684.70234620453, -179.99999999347017, 179.99999998292898, 159.31903284207513]]","(1:1:12,)"
"[[-48490.873291616015, 46503.43293894618, 46503.0649930988, -200.00000000009044, 200.00000000029297, 159.27759769192843], [-49042.264289180624, 49053.09030731087, 46481.29751041491, -179.82067442799206, 180.00000000629615, 159.33044869014617]]","(1:1:12,)"
"[[-49490.873291616466, 47503.43293894764, 47299.45298155844, -198.15181790471294, 200.0000000001125, 159.31064861391494], [-49941.36766132058, 49953.090307342354, 47277.949753865636, -178.6490884527748, 180.00000001333112, 159.33325654471682]]","(1:1:12,)"
"[[-50481.63238114003, 48503.4329389482, 48096.006224628014, -194.85417947665255, 200.00000000045154, 159.3280930216287], [-50834.61310358446, 50853.09030740901, 48074.61603658922, -176.75442222577348, 179.99999999918782, 159.32802584517614]]","(1:1:12,)"
"[[-51455.90327852329, 49503.43293895046, 48892.64668973616, -190.65621369622843, 199.99999999986082, 159.33212989228156], [-51718.38521471333, 51753.09030740495, 48871.2561658151, -174.4112350118869, 180.00000000642567, 159.3158561206326]]","(1:1:12,)"
"[[-52409.18434700443, 50503.43293894976, 49689.30733919757, -186.01360885032187, 200.0000000078879, 159.32537628484926], [-52590.441389772765, 52653.09030743708, 49667.83544641826, -171.84470464718544, 180.0000001365112, 159.29805594177287]]","(1:1:12,)"
"[[-53339.25239125604, 51503.4329389892, 50485.93422062181, -181.22479206149072, 199.9999999976165, 159.3092629863455], [-53449.66491300869, 53553.09030811964, 50464.32572612713, -169.20670099857875, 179.99999998781857, 159.275340743994]]","(1:1:12,)"
"[[-54245.37635156349, 52503.43293897728, 51282.48053555354, -176.5356334301275, 200.0000000026177, 159.28571624553194], [-54295.69841800158, 54453.09030805873, 51260.7024298471, -166.62015393910997, 180.00000004798923, 159.24867369426318]]","(1:1:12,)"
"[[-55128.05451871413, 53503.43293899037, 52078.9091167812, -172.10285254358018, 199.9999999974832, 159.2566823889871], [-55128.79918769713, 55353.09030829868, 52056.94579831842, -164.16078160577337, 179.99999995708612, 159.2190279991506]]","(1:1:12,)"
"[[-55988.56878143203, 54503.432938977785, 52875.19252872613, -168.05345187497795, 200.00000000363426, 159.22327228970678], [-55949.60309572599, 56253.09030808411, 52853.040938314174, -161.89471698131265, 180.00000005527284, 159.18695913912887]]","(1:1:12,)"
"[[-56828.83604080692, 55503.43293899595, 53671.30889017467, -164.4465998206743, 199.9999999999223, 159.18673340667752], [-56759.076680632556, 57153.09030836047, 53648.975734009815, -159.85153913379503, 180.00000000887323, 159.15309088836034]]","(1:1:12,)"
"[[-57651.06903991029, 56503.43293899557, 54467.242557208054, -161.295849507711, 199.99999999988262, 159.14817907749372], [-57558.33437630153, 58053.09030840484, 54444.74118845162, -158.04242795083098, 180.0000000128158, 159.11797996100452]]","(1:1:12,)"
"[[-58457.548287448844, 57503.43293899498, 55262.98345259552, -158.61087683631692, 200.0000000002744, 159.10826914022664], [-58348.546516055685, 58953.09030846892, 55240.331088256644, -156.4678075458471, 180.0000000160104, 159.08195632215484]]","(1:1:12,)"
