blocks,axes
"[[0.0006665921270248192, -0.023646874890263236, 9.223277851090957e-7], [0.000638824394232489, -0.023672891991010286, 4.6116389331044347e-7]]","(1:1:6,)"
"[[0.000665862175659375, -0.02090815384880152, 9.35996404499403e-7], [0.000637712254566654, -0.020882785014890312, 4.6799819942399953e-7]]","(1:1:6,)"
"[[0.0005986371829994877, -0.01973973999709321, 1.5361294702569226e-6], [0.0005702371839674867, -0.019719826107449562, 7.680647325416426e-7]]","(1:1:6,)"
"[[0.0005342674684952436, -0.01853121559720635, 2.137185848179811e-6], [0.0005061811980440274, -0.01853670239689916, 1.068592921753911e-6]]","(1:1:6,)"
"[[0.0005244431067323608, -0.016080698476431107, 2.3453904084323772e-6], [0.0004963036218247453, -0.01604994375255426, 1.1726952031120399e-6]]","(1:1:6,)"
"[[0.0004736456056373006, -0.015182917761159717, 3.033648298578287e-6], [0.0004448972884821911, -0.015156552632536164, 1.5168241483711507e-6]]","(1:1:6,)"
"[[0.00042477618099010986, -0.014253401257117628, 3.626768360047654e-6], [0.0003959844897880607, -0.01424720949620395, 1.8133841793503347e-6]]","(1:1:6,)"
"[[0.0003985785361410149, -0.012363312958251086, 3.7580101233778883e-6], [0.0003713160962975399, -0.012376572455276683, 1.8790050600874825e-6]]","(1:1:6,)"
"[[0.00036061200382586097, -0.011640675249671691, 4.325641379114392e-6], [0.0003322851365472292, -0.011652019341369857, 2.162820688065689e-6]]","(1:1:6,)"
"[[0.0003240204393994715, -0.010893826700418713, 4.771676976509952e-6], [0.0002951913612681212, -0.010915296205530804, 2.385838486849614e-6]]","(1:1:6,)"
"[[0.0002731026681391595, -0.009974895566579944, 4.748294280641173e-6], [0.0002486994237500065, -0.010158918309079201, 2.3741471384655365e-6]]","(1:1:6,)"
"[[0.0002442549814859931, -0.009243532579748233, 5.154010547494187e-6], [0.00021784936177261823, -0.009400594628090404, 2.5770052720513786e-6]]","(1:1:6,)"
"[[0.00021693305570116638, -0.008497232353851846, 5.44543138829624e-6], [0.000189112435382671, -0.008634750517182302, 2.722715692657234e-6]]","(1:1:6,)"
"[[0.0001887436326034795, -0.0076748458454359405, 5.284969053427619e-6], [0.0001624776027638902, -0.007867913989757426, 2.6424845239621087e-6]]","(1:1:6,)"
"[[0.00016785111288912757, -0.006943104033776736, 5.561996108736284e-6], [0.0001395869033464546, -0.007092211363663883, 2.780998051879307e-6]]","(1:1:6,)"
"[[0.000148686654972997, -0.006214002157377923, 5.742364744353529e-6], [0.00011896919712952992, -0.006317790780437196, 2.8711823699741044e-6]]","(1:1:6,)"
"[[0.00013404940335543655, -0.005471407205563794, 5.492430381247112e-6], [0.00010503517176656412, -0.005548842302000866, 2.746215189042047e-6]]","(1:1:6,)"
"[[0.00012086254899309333, -0.00479252423684024, 5.691680106281155e-6], [9.021834213676245e-5, -0.00478885895494671, 2.845840051777398e-6]]","(1:1:6,)"
"[[0.00010932206874966649, -0.0041417093872021206, 5.810455799701241e-6], [7.7670226818693e-5, -0.0040428863744405505, 2.9052278986507745e-6]]","(1:1:6,)"
