blocks,axes
"[[646.9891877306629, -359.6499822943283, -980.0028709658252, -2.5063591574612443, 7.0670265259203715, 0.09517297124665516], [734.0813807555204, -315.72433578863604, -999.9948663049328, -2.4330561071979875, 6.958800591300809, 0.01460161937618]]","(1:1:12,)"
"[[634.4573919433567, -324.31484966472647, -979.5270061095919, -2.419738203184759, 6.99019996336339, 0.10488631979209283], [721.9161002195304, -280.93033283213197, -999.9218582080518, -2.377246835167092, 6.924442099588582, 0.021516374485397827]]","(1:1:12,)"
"[[622.3587009274329, -289.36384984790953, -979.0025745106313, -2.346349198355972, 6.930520886309341, 0.10617599932427702], [710.0298660436949, -246.30812233418905, -999.8142763356249, -2.328050054165339, 6.898614396995063, 0.024484510543024335]]","(1:1:12,)"
"[[610.626954935653, -254.71124541636283, -978.47169451401, -2.28517364090069, 6.886972580069879, 0.10047475073396177], [698.3896157728683, -211.81505034921372, -999.6918537829098, -2.2849565500594906, 6.880809114203921, 0.023844968465105205]]","(1:1:12,)"
"[[599.2010867311495, -220.27638251601343, -977.9693207603402, -2.234397051849114, 6.857350649261737, 0.09019423680632646], [686.9648330225708, -177.41100477819413, -999.5726289405843, -2.2470591202787826, 6.869924041678206, 0.020803567477423745]]","(1:1:12,)"
"[[588.0291014719039, -185.98962926970475, -977.5183495763085, -2.1919098212639834, 6.838939239733347, 0.07769944516255815], [675.7295374211769, -143.0613845698031, -999.4686111031972, -2.213302996778907, 6.8646012406236645, 0.016660090743857724]]","(1:1:12,)"
"[[577.069552365584, -151.79493307103803, -977.1298523504958, -2.1565012431889907, 6.830281593347098, 0.06400100367347043], [664.6630224372824, -108.73837836668477, -999.3853106494779, -2.1830828635160784, 6.8641123203799435, 0.011814753877998317]]","(1:1:12,)"
"[[566.287046149639, -117.64352510430254, -976.8098473321284, -2.126612378696461, 6.829339810471909, 0.050216491674722925], [653.747608119702, -74.41781676478504, -999.3262368800879, -2.155619287970798, 6.867438319666867, 0.006826335605044222]]","(1:1:12,)"
"[[555.6539842561567, -83.496826051943, -976.5587648737547, -2.1007005451665743, 6.8340139680647285, 0.03707386140495325], [642.969511679848, -40.08062516645071, -999.2921052020627, -2.1301409657873367, 6.873529265625246, 0.002008298504332956]]","(1:1:12,)"
"[[545.1504815303239, -49.32675621161936, -976.37339556673, -2.077843068924893, 6.843118219523332, 0.02520665257562802], [632.3188068509113, -5.7129788383244815, -999.282063709541, -2.106186597092414, 6.881792223743292, -0.0022525950594443627]]","(1:1:12,)"
"[[534.7612661856994, -15.111165114002702, -976.2473623038518, -2.0570471179189664, 6.855285714161731, 0.014915931963269903], [621.7878738654492, 28.69598228039198, -999.2933266848382, -2.083259802833367, 6.89154375759437, -0.005805820684540167]]","(1:1:12,)"
"[[524.4760305961046, 19.165263456805953, -976.1727826440355, -2.0374508033064136, 6.869274009391092, 0.006069383950934126], [611.3715748512824, 63.15370106836383, -999.3223557882609, -2.060929675572095, 6.902162634927492, -0.008824626594491777]]","(1:1:12,)"
"[[514.2887765795725, 53.511633503761416, -976.1424357242807, -2.018508111326883, 6.884353050412076, -0.0009924620329250988], [601.066926473422, 97.66451424300129, -999.3664789212334, -2.038923245420913, 6.913283817513504, -0.011015886591918943]]","(1:1:12,)"
"[[504.19623602293814, 87.9333987558218, -976.1473980344454, -1.9997347417024223, 6.89981519282405, -0.006362777411312207], [590.8723102463174, 132.2309333305688, -999.4215583541929, -2.016998399242647, 6.924553472449739, -0.012426193407784475]]","(1:1:12,)"
"[[494.197562314426, 122.43247471994205, -976.179211921502, -1.9807853569123417, 6.9151095997657706, -0.010335942389500637], [580.7873182501041, 166.85370069281748, -999.4836893212319, -1.9949825052879464, 6.935696170730381, -0.013217771251363471]]","(1:1:12,)"
"[[484.29363552986433, 157.00802271877092, -976.2308916334495, -1.961409077132051, 6.929894927754488, -0.012921206531505216], [570.8124057236644, 201.5321815464694, -999.5497781774886, -1.9727501606646005, 6.9465412301660665, -0.013384058168568]]","(1:1:12,)"
"[[474.48659014420406, 191.65749735754335, -976.2954976661069, -1.9414552399043248, 6.943921348138145, -0.014330312324586524], [560.9486549203414, 236.2648876972997, -999.6166984683315, -1.9502260711730555, 6.9569637261099935, -0.01303093116256617]]","(1:1:12,)"
"[[464.77931394468243, 226.37710409823407, -976.3671492277299, -1.9208787227704096, 6.957060982164643, -0.014856167043955069], [551.1975245644761, 271.04970632784966, -999.6818531241444, -1.9273877126218644, 6.966899708992575, -0.01231995956262695]]","(1:1:12,)"
"[[455.1749203308304, 261.1624090090573, -976.4414300629496, -1.899604648916945, 6.9692199575372635, -0.014594263731684607], [541.5605860013668, 305.8842048728125, -999.7434529219576, -1.9041976836510266, 6.9763022325992425, -0.01128227357385956]]","(1:1:12,)"
"[[445.6768970862457, 296.0085087967436, -976.5144013816081, -1.8776510771797048, 6.980394179252128, -0.013735279334329935], [532.0395975831117, 340.76571603580874, -999.7998642898268, -1.8806650507337617, 6.985169239489141, -0.010013216132087652]]","(1:1:12,)"
"[[436.28864170034717, 330.9104796930043, -976.5830777782797, -1.8545845833855483, 6.972908137469258, -0.012477801058393863], [522.6362723294429, 375.69156223325444, -999.8499303704873, -1.856318854574509, 6.975962110865506, -0.008613760266534714]]","(1:1:12,)"
"[[427.0157187834194, 365.77502038035055, -976.6454667835717, -1.8310501512924224, 6.9656442861474375, -0.010924200088267921], [513.3546780565704, 410.571372787582, -999.89299917182, -1.831794062083014, 6.96730490713859, -0.007133180548351409]]","(1:1:12,)"
"[[417.8604680269573, 400.60324181108774, -976.700087784013, -1.8071155605782239, 6.958693243512941, -0.009197049850883637], [504.19570774615534, 445.40789732327494, -999.9286650745618, -1.8071212800143186, 6.959243219098952, -0.005632766954986823]]","(1:1:12,)"
"[[408.82489022406617, 435.3967080286524, -976.7460730332674, -1.777441714081418, 6.768438683836165, -0.007402544446606029], [495.16010134608376, 480.2041134187697, -999.9568289093367, -1.7769593553538352, 6.769947819362989, -0.00416431049383305]]","(1:1:12,)"
"[[399.93768165365907, 469.23890144783326, -976.7830857555005, -1.7487542509355476, 6.589949255978775, -0.0056046280265181405], [486.2753045693146, 514.0538525155846, -999.9776504618059, -1.7479380978652135, 6.591880603509633, -0.002761421851179749]]","(1:1:12,)"
"[[391.19391039898136, 502.18864772772713, -976.8111088956331, -1.7210430110518704, 6.423346528131453, -0.003859665297969747], [477.53561407998853, 547.0132555331328, -999.9914575710618, -1.7200153457674698, 6.425105602389944, -0.001452285464516425]]","(1:1:12,)"
"[[382.588695343722, 534.3053803683844, -976.830407222123, -1.6898203913145784, 6.143692265312569, -0.002206739989704789], [468.9355373511512, 579.1387835450826, -999.9987189983843, -1.6887247197436515, 6.146693660542208, -0.00025611696616533374]]","(1:1:12,)"
"[[374.1395933871491, 565.0238416949472, -976.8414409220715, -1.6603685114989049, 5.881188231376658, -0.0006683635818837809], [460.49191375243294, 609.8722518477936, -999.9999995832152, -1.659262923797789, 5.884657778896761, 0.0008151707773641338]]","(1:1:12,)"
"[[365.83775082965457, 594.4297828518305, -976.8447827399809, -1.6326216225998829, 5.636002030102651, 0.0007441078666842851], [452.195599133444, 639.2955407422774, -999.9959237293284, -1.6315431077158158, 5.639086488188135, 0.0018235035396722465]]","(1:1:12,)"
"[[357.67464271665517, 622.6097930023437, -976.8410622006475, -1.6029075198100653, 5.326442984583971, 0.002030719660348775], [444.0378835948649, 667.490973183218, -999.9868062116301, -1.6019298006868803, 5.330250439859527, 0.0027689030809243376]]","(1:1:12,)"
"[[349.66010511760487, 649.2420079252636, -976.8309086023457, -1.575277590583586, 5.035579484273258, 0.0031928374879389787], [436.02823459143053, 694.1422253825157, -999.9729616962255, -1.5744045625120742, 5.0394164594851665, 0.0036520513536014987]]","(1:1:12,)"
"[[341.78371716468695, 674.4199053466299, -976.814944414906, -1.5496355018725683, 4.763645610985922, 0.0042397394288094985], [428.15621177887016, 719.3393076799415, -999.9547014394575, -1.5488594010905712, 4.766706830043399, 0.004477586505421733]]","(1:1:12,)"
"[[334.0355396553241, 698.2381334015595, -976.7937457177619, -1.5230504003043919, 4.460058459975181, 0.005185544232137983], [420.4119147734173, 743.1728418301585, -999.9323135069304, -1.5224064450140289, 4.463298910606217, 0.005252567019036851]]","(1:1:12,)"
"[[326.4202876538021, 720.5384257014354, -976.7678179966013, -1.4985610549614667, 4.1745165966662, 0.00604075437466755], [412.79988254834717, 765.4893363831897, -999.9060506718353, -1.4980302018731466, 4.177430027464365, 0.0059822432408759155]]","(1:1:12,)"
