blocks,axes
"[[596.5657330888057, -212.62665220095892, -978.6474475221513, -2.2599037982100634, 6.929593944287149, 0.06370625649815995], [684.3308139983716, -169.76334241021374, -999.9404867322583, -2.2721142408496524, 6.941591394409953, 0.018758188292659107]]","(1:1:12,)"
"[[585.2662140977554, -177.97868247952317, -978.3289162396605, -2.216851641690258, 6.910852934262125, 0.06937885718813706], [672.9702427941234, -135.05538543816397, -999.8466957907949, -2.2379558292052866, 6.936146069562106, 0.021896017291730862]]","(1:1:12,)"
"[[574.1819558893042, -143.42441780821255, -977.9820219537198, -2.1809443629071916, 6.901947729531618, 0.06911861741807193], [661.7804636480969, -100.37465509035343, -999.7372157043362, -2.20736648408922, 6.935575234807433, 0.02206746472483385]]","(1:1:12,)"
"[[563.2772340747682, -108.91467916055447, -977.6364288666294, -2.1506161766634535, 6.90083236803835, 0.06466839095252232], [650.7436312276508, -65.69677891631626, -999.626878380712, -2.179563350200882, 6.938855897527836, 0.020143956583954563]]","(1:1:12,)"
"[[552.524153191451, -74.41051732036271, -977.3130869118668, -2.124314785927709, 6.905395114812664, 0.057985513162129916], [639.8458144766464, -31.002499428677083, -999.5261585977922, -2.15377031633269, 6.944932178777222, 0.017282445735636042]]","(1:1:12,)"
"[[541.9025792618124, -39.88354174629939, -977.0231593460561, -2.101112346966584, 6.914444065460027, 0.04961992137138044], [629.076962894983, 3.7221614652090267, -999.439746369114, -2.1295234979359012, 6.953208115025245, 0.013569711749921684]]","(1:1:12,)"
"[[531.3970175269795, -5.311321418999256, -976.7750597391992, -2.080008094642928, 6.92660255429534, 0.040487767472511905], [618.4293454053035, 38.48820204033525, -999.3718978103644, -2.1063225497696156, 6.96299536222454, 0.009463828687967534]]","(1:1:12,)"
"[[520.9969770537649, 29.321691352477444, -976.5726209018366, -2.060131515446534, 6.940617263830966, 0.03162668078168011], [607.8977326564554, 73.30317885145796, -999.3245786669246, -2.0837322524160595, 6.973667250554733, 0.005637042037296947]]","(1:1:12,)"
"[[510.69631947653227, 64.02477767163228, -976.4144874979281, -2.0409317417232367, 6.955752130712339, 0.023151424447230673], [597.4790713943752, 108.17151510423162, -999.2963934567381, -2.061477209394937, 6.984855737390341, 0.001986428499029077]]","(1:1:12,)"
"[[500.4916607679161, 98.80353832519398, -976.298730375692, -2.0219185388780554, 6.971291970293051, 0.015396503906929922], [587.1716853474005, 143.09579379118333, -999.286461314243, -2.0393123407649822, 6.996203219588286, -0.0013207617832599965]]","(1:1:12,)"
"[[490.3820680735258, 133.65999817665923, -976.2217478561573, -2.0027409127157796, 6.9866786680113675, 0.00864059316855948], [576.9751236435756, 178.07680988912475, -999.2930651231593, -2.017062186794091, 7.007430629176217, -0.004099925535348607]]","(1:1:12,)"
"[[480.3683635099469, 168.59339151671605, -976.1785448903145, -1.983144712260698, 7.001566684443724, 0.002918838125507364], [566.889812709605, 213.11396303500584, -999.313564750836, -1.9945997093691363, 7.018365185879255, -0.006378477932267717]]","(1:1:12,)"
"[[470.4526399486434, 203.60122493893468, -976.1639506996869, -1.9629758657067151, 7.0157017528522845, -0.0017506587218165271], [556.9168141627594, 248.20578896440213, -999.3454571404974, -1.9718479099708517, 7.028879745893839, -0.00814737027119019]]","(1:1:12,)"
"[[460.6377606201099, 238.6797337031961, -976.172703993296, -1.9421863897175875, 7.028952235064941, -0.0054713967228644965], [547.0575746129051, 283.3501876938713, -999.3861939918534, -1.9487828343238862, 7.038908479827715, -0.009475012731114748]]","(1:1:12,)"
"[[450.92682867152195, 273.8244948785208, -976.2000609769103, -1.9206997046114578, 7.041221993794576, -0.008229383234316889], [537.3136604412857, 318.5447300930099, -999.4335690555089, -1.9253662299888854, 7.0484033088596965, -0.010334077652252908]]","(1:1:12,)"
"[[441.32333014846466, 309.0306048474937, -976.2412078930819, -1.8985324146260318, 7.052504981322012, -0.010129637998262397], [527.6868292913413, 353.7867466373084, -999.4852394437702, -1.9016064364950478, 7.057361199081067, -0.010777077084371629]]","(1:1:12,)"
"[[431.83066807533453, 344.29312975410375, -976.2918560830732, -1.8742139073067092, 7.009667904775462, -0.011372607011769719], [518.178797108866, 389.07355263271376, -999.539124829192, -1.8760057782338218, 7.013128193365901, -0.010927108309568338]]","(1:1:12,)"
"[[422.459598538801, 379.34146927798105, -976.3487191181321, -1.8496688287254675, 6.96927050601936, -0.01197358925113233], [508.7987682176969, 424.13919359954326, -999.5937603707399, -1.8504633815233384, 6.971516575357593, -0.01076742612402707]]","(1:1:12,)"
"[[413.2112543951737, 414.18782180807784, -976.4085870643877, -1.824949414196897, 6.931406329787857, -0.012052033601420178], [499.54645131008016, 458.9967764763312, -999.64759750136, -1.824995446786843, 6.9325739809516875, -0.010357756795995236]]","(1:1:12,)"
"[[404.0865073241892, 448.8448534570171, -976.4688472323948, -1.7948242570579636, 6.72183227462217, -0.011760870606805581], [490.42147407614596, 493.65964638108966, -999.69938628534, -1.7943720338118463, 6.7239074811157895, -0.009784567705948252]]","(1:1:12,)"
"[[395.1123860388994, 482.45401483012796, -976.5276515854288, -1.7658146206748353, 6.525165277694904, -0.01114565147012756], [481.4496139070867, 527.2791837866686, -999.7483091238697, -1.7650189435336177, 6.527579967798505, -0.00905980252612628]]","(1:1:12,)"
"[[386.2833129355252, 515.0798412186025, -976.5833798427794, -1.737902932379577, 6.341540329387097, -0.010295351119740462], [472.6245191894186, 559.9170836256611, -999.7936081365003, -1.7368865902296522, 6.343662508943062, -0.008227950292278718]]","(1:1:12,)"
"[[377.5937982736273, 546.787542865538, -976.6348565983782, -1.7067146224463896, 6.053046810719223, -0.009301398360425959], [463.94008623827034, 591.6353961703765, -999.8347478879617, -1.7056224965989368, 6.0562648155983325, -0.00733735333377322]]","(1:1:12,)"
"[[369.06022516139535, 577.0527769191341, -976.6813635901804, -1.6773545927954419, 5.782168351716071, -0.008204240425787695], [455.41197375527565, 621.9167202483682, -999.8714346546305, -1.676246690681406, 5.7857306417538386, -0.006405318490247897]]","(1:1:12,)"
"[[360.67345219741816, 605.9636186777144, -976.7223847923093, -1.6497545460802996, 5.529092258113476, -0.007054621408878633], [447.0307403018686, 650.8453734571374, -999.9034612470817, -1.6486692942082568, 5.5321585228447905, -0.00545721918071833]]","(1:1:12,)"
"[[352.42467946701663, 633.6090799682818, -976.7576578993537, -1.620349510731783, 5.217273777333904, -0.00589624089347783], [438.78739383082734, 678.5061660713613, -999.9307473429853, -1.6193615408974609, 5.220945119272589, -0.00451497416874912]]","(1:1:12,)"
"[[344.3229319133577, 659.6954488549513, -976.7871391038211, -1.593042233585493, 4.924218420067655, -0.004751860302195988], [430.69058612634, 704.6108916677243, -999.9533222138291, -1.5921571589024806, 4.9278389632517845, -0.003589886482467595]]","(1:1:12,)"
"[[336.35772074543024, 684.3165409552896, -976.8108984053321, -1.5677364515936691, 4.650179366624108, -0.003642364031990011], [422.7298003318276, 729.2500864839833, -999.9712716462415, -1.5669477032545314, 4.652971929666296, -0.0026923995123376205]]","(1:1:12,)"
"[[328.5190384874619, 707.5674377884102, -976.8291102254921, -1.541596775851459, 4.348242035187607, -0.002582030257821581], [414.895061815555, 752.5149461323148, -999.9847336438031, -1.540939677874113, 4.3511562364400485, -0.0018294608432140526]]","(1:1:12,)"
"[[320.8110546082046, 729.3086479643482, -976.8420203767812, -1.5175407561616623, 4.064203024598067, -0.0015773514215194381], [407.19036342618443, 774.270727314515, -999.9938809480192, -1.5169973677561575, 4.066766000423301, -0.001004574614031184]]","(1:1:12,)"
"[[313.2233508273963, 749.6296630873385, -976.8499071338888, -1.4954633743118473, 3.798373794595184, -0.0006313080803913789], [399.60537658740367, 794.6045573166316, -999.9989038210894, -1.4950097000151235, 3.7999620827562137, -0.00021923211618021785]]","(1:1:12,)"
"[[305.74603395583705, 768.6215320603144, -976.8530636742908, -1.4731615921800778, 3.524458373696009, 0.0002568035488765665], [392.13032808732805, 813.6043677304127, -999.9999999816703, -1.4728143097245727, 3.525906185757705, 0.0005269175896394943]]","(1:1:12,)"
"[[298.38022599493667, 786.2438239287944, -976.8517796565463, -1.4527681708256783, 3.2665719730855654, 0.0010900043476832167], [384.7662565387052, 831.2338986592013, -999.997365393722, -1.4525043776405415, 3.267577769362483, 0.0012456115955368939]]","(1:1:12,)"
"[[291.1163851408083, 802.5766837942223, -976.846329634808, -1.434182504422027, 3.025060168370263, 0.0018731580929555194], [377.5037346505025, 847.5717875060137, -999.9911373357444, -1.4339763260546436, 3.025154288689103, 0.0019392808980155858]]","(1:1:12,)"
"[[283.94547261869815, 817.7019846360736, -976.8369638443431, -1.4157314921953101, 2.7874787646919525, 0.0026120267141059067], [370.3338530202293, 862.6975589494592, -999.9814409312543, -1.415592197148774, 2.7873772739693363, 0.002610805569777189]]","(1:1:12,)"
"[[276.8668151577216, 831.6393784595333, -976.8239037107726, -1.3989378544132332, 2.5636683484013623, 0.003312961127119552], [363.25589203448544, 876.6344453193059, -999.9683869034054, -1.398846371030229, 2.5631942707074358, 0.0032633601769056757]]","(1:1:12,)"
"[[269.8721258856554, 844.4577202015402, -976.8073389051369, -1.3837127650426588, 2.353979454577155, 0.0039822039437664705], [356.2616601793343, 889.4504166728431, -999.9520701025209, -1.3836481070693878, 2.3527846043313434, 0.0039000651333362876]]","(1:1:12,)"
"[[262.9535620604421, 856.227617474426, -976.7874278854181, -1.3688141505971436, 2.1548603326313276, 0.004625060083332316], [349.3434196439873, 901.2143396944998, -999.9325697768543, -1.368783003135675, 2.153534980476483, 0.0045235720068159905]]","(1:1:12,)"
"[[256.1094913074564, 867.0019191375826, -976.7643025850015, -1.3553010239012635, 1.967218711934868, 0.005247914767430072], [342.49950462830896, 911.9820145968822, -999.9099519168202, -1.355290786482027, 1.9656629632433886, 0.005137072516172634]]","(1:1:12,)"
"[[249.33298618795007, 876.838012697257, -976.7380630111643, -1.3430992997643747, 1.7913850250877712, 0.005855553301547049], [335.7230506958988, 921.8103294130991, -999.8842665542394, -1.3430954796022294, 1.7893371783064294, 0.005742958422234213]]","(1:1:12,)"
"[[242.6174896891282, 885.7949378226958, -976.7087852446565, -1.331308077981466, 1.6291613051152634, 0.006450919047498171], [329.00757329788763, 930.7570153046313, -999.8555517621282, -1.3313161279683094, 1.6270872795794484, 0.006342700514003202]]","(1:1:12,)"
"[[235.96094929922089, 893.9407443482721, -976.676530649419, -1.320641499463894, 1.476274812329447, 0.007039192315521455], [322.3509926580461, 938.8924517025285, -999.8238382595582, -1.3206548404066223, 1.474116690426527, 0.006938888054724888]]","(1:1:12,)"
"[[229.35774180190143, 901.3221184099193, -976.6413346878413, -1.3110403475755914, 1.3330191636284097, 0.007623085730208752], [315.747718456013, 946.2630351546612, -999.7891438192846, -1.3110501766005687, 1.33057500557592, 0.007532876464837347]]","(1:1:12,)"
