blocks,axes
"[[-72237.8052304058, 75778.4354689956, 70297.85259150759, -142.82052318231644, 170.0964483317279, 158.35370123099577], [-72240.32523244468, 75759.8200605428, 70297.8325194071, -142.90755138233425, 167.8008052152486, 158.35480157160507]]","(1:1:12,)"
"[[-72951.90784631738, 76628.91771065423, 71089.62109766257, -142.4676782362993, 168.73167762077028, 158.3125379651307], [-72954.86298935635, 76598.82408661905, 71089.60652726512, -142.51073068047097, 167.36412901464004, 158.31346385864182]]","(1:1:12,)"
"[[-73664.24623749888, 77472.57609875809, 71881.18378748823, -142.0967559564677, 167.7664385493764, 158.2708949815743], [-73667.4166427587, 77435.64473169224, 71881.17384655833, -142.10466020933217, 167.1264612084242, 158.27165250660147]]","(1:1:12,)"
"[[-74374.73001728122, 78311.40829150497, 72672.5382623961, -141.70912549027415, 167.1544298084391, 158.22875997520046], [-74377.93994380537, 78271.27703773437, 72672.53210909133, -141.69002519339028, 167.06465041656838, 158.22936142420517]]","(1:1:12,)"
"[[-75083.2756447326, 79147.18044054716, 73463.68206227211, -141.3073289422376, 166.83400382651112, 158.1861260051493], [-75086.39006977231, 79106.60028981722, 73463.67891621236, -141.2680973362709, 167.14787213010663, 158.18658720299646]]","(1:1:12,)"
"[[-75789.81228944378, 79981.35045967971, 74254.61269229786, -140.89212955862234, 166.7723747367678, 158.14298831746032], [-75792.73055645367, 79942.33965046775, 74254.61185222735, -140.83925891310054, 167.35973269462212, 158.14332752866076]]","(1:1:12,)"
"[[-76494.27293723689, 80815.21233336355, 75045.32763388516, -140.46555597322688, 166.92068816540868, 158.09934598762018], [-76496.92685101916, 80779.13831394086, 75045.32848987065, -140.40452489338875, 167.67580420445117, 158.09958200229588]]","(1:1:12,)"
"[[-77196.60071710302, 81649.8157741906, 75835.82436382325, -140.03010341401443, 167.22678412531602, 158.05520135715858], [-77198.94947548611, 81617.51733496311, 75835.82639988212, -139.96514354434643, 168.07000594951404, 158.05535185870968]]","(1:1:12,)"
"[[-77896.75123417309, 82485.94969481719, 76626.10037060904, -139.5869740908085, 167.66140838509918, 158.01055530257307], [-77898.77519320784, 82457.86736471068, 76626.10315917566, -139.52171662472713, 168.52771009983974, 158.01063760088593]]","(1:1:12,)"
"[[-78594.68610462714, 83324.25673674268, 77416.1531471219, -139.1379261531716, 168.1894121226903, 157.96541143977316], [-78596.38377633148, 83300.50591520987, 77416.15634718009, -139.07512386376925, 169.03134153236547, 157.9654411022024]]","(1:1:12,)"
"[[-79290.375735393, 84165.20379735614, 78205.98020432077, -138.69048148677265, 168.77281904353563, 157.91977489305242], [-79291.75939565033, 84145.66262287169, 78205.9835526911, -138.63295651020655, 169.55858948286914, 157.91976499092027]]","(1:1:12,)"
"[[-79983.82814282687, 85009.06789257382, 78995.57907878603, -138.2394171918103, 169.3979427366157, 157.87364840702418], [-79984.92417820136, 84993.45557028604, 78995.58237764571, -138.1883117736514, 170.10636609442565, 157.87361070614483]]","(1:1:12,)"
"[[-80675.02522878592, 85856.0576062569, 79784.94732082116, -137.78587428798096, 170.04525019619066, 157.82703623997176], [-80675.86573706962, 85843.98740075817, 79784.95043117643, -137.74175794650748, 170.66490093698374, 157.82698044450757]]","(1:1:12,)"
"[[-81363.95460022583, 86706.28385723785, 80574.08250202102, -137.33897988769934, 170.5884189949863, 157.7799430547066], [-81364.57452680216, 86697.31190544309, 80574.08533339897, -137.30248528892915, 171.09811586202292, 157.77987660559225]]","(1:1:12,)"
"[[-82050.64949966433, 87559.22595221279, 81362.98221729456, -136.89095203305808, 171.13872795093695, 157.73237150858427], [-82051.0869532468, 87552.8024847532, 81362.98471642693, -136.86193379322404, 171.54354164128983, 157.7323005869441]]","(1:1:12,)"
