blocks,axes
"[[0.002171497041634479, 0.009659215930231113, 2.1053694161309976e-5], [0.0010857485208003671, 0.0048296079651079064, 1.0526846774117574e-5]]","(1:1:6,)"
"[[0.0017352190274931487, 0.02104849418014288, 1.582506902386045e-5], [0.00010167934765457176, 0.009859865656960665, 7.912534681486977e-6]]","(1:1:6,)"
"[[0.002304645501214967, 0.029699388258745428, 1.1118708263207072e-5], [0.00048114487938128066, 0.01426951027337009, 5.55935427400982e-6]]","(1:1:6,)"
"[[0.0026164024076052424, 0.03444616904836148, 7.237054938700277e-6], [0.0007320587569382042, 0.016726771645266637, 3.6185275831504347e-6]]","(1:1:6,)"
"[[0.0010866903018615333, 0.013930167991466392, 4.260725357537393e-6], [-0.0008632615037754655, -0.008030284522406164, 2.1303626756698622e-6]]","(1:1:6,)"
"[[0.001184143342460439, 0.015665360842789616, 1.7883415501902796e-6], [-0.0006612358852720643, -0.005286190866176907, 8.941707801941202e-7]]","(1:1:6,)"
"[[0.001172691873063624, 0.015794778625152536, -5.925674707581785e-8], [-0.000507225283366246, -0.0033455336978272195, -2.9628362761097867e-8]]","(1:1:6,)"
"[[0.0008546347539080219, -0.000788130158996725, -1.307538704922001e-6], [-0.0004065897976666218, -0.01590565985195453, -6.537692344863901e-7]]","(1:1:6,)"
"[[0.0007635091878520325, -0.0009728389949715699, -2.2097604932281726e-6], [-0.00035873094709543466, -0.014326955973690185, -1.1048801448780248e-6]]","(1:1:6,)"
"[[0.0006456848029591985, -0.0015790073475703654, -2.748698908066089e-6], [-0.0003184855621605317, -0.012959322620842432, -1.3743493660945912e-6]]","(1:1:6,)"
"[[0.029511404799112722, 0.003575422598235593, -0.019026695069401488], [0.015511373450377366, -0.0018227654094049505, -0.009520740368184814]]","(1:1:6,)"
"[[0.021455698589567862, 0.015058752026978484, -0.011105855385757027], [0.012337890320528826, 0.008474191931389092, -0.005561226693444665]]","(1:1:6,)"
"[[0.01518726334342684, 0.028093221092877603, -0.004418205353340827], [0.009246929612198572, 0.015954572022892043, -0.00221676644127904]]","(1:1:6,)"
"[[0.04756597839549632, -0.031286216803369696, -0.0474450071850732], [0.023069008471558614, -0.016318133607017223, -0.023752996561303506]]","(1:1:6,)"
"[[0.031191976106182285, -0.009706751917716375, -0.029617494032713788], [0.014967228423232051, -0.0054288924926074525, -0.014833431373947954]]","(1:1:6,)"
"[[0.018227375674483005, 0.007174358553996535, -0.015788585507861903], [0.008570465694403466, 0.0031070104270606337, -0.00791342320025124]]","(1:1:6,)"
"[[0.055599846236066106, -0.0457726965263451, -0.05309918787604377], [0.027142067590819698, -0.023583798909954535, -0.02661880713743194]]","(1:1:6,)"
"[[0.03833127371856213, -0.01933676215194286, -0.03440824481257386], [0.01858073409326768, -0.01026177527538144, -0.01725948667733633]]","(1:1:6,)"
"[[0.024326582259391744, 0.0014502639524192479, -0.019870913566791937], [0.011652758117931938, 0.0002314457245039224, -0.009978200181772437]]","(1:1:6,)"
"[[-0.004452869008956477, -0.0710096258088434, 0.11415860036238787], [0.08532362492442129, -0.09912137551643654, 0.057079300180732394]]","(1:1:6,)"
"[[0.015312290645016546, -0.0736551954416259, 0.08722948567442276], [0.08429240807801913, -0.09535374250378863, 0.04361474283680428]]","(1:1:6,)"
"[[0.030841927196742603, -0.07510799387091946, 0.06390333106255883], [0.08116163451932754, -0.09095227985942962, 0.03195166553092742]]","(1:1:6,)"
"[[-0.03668573385997424, 0.02607259167566429, 0.045036512146030924], [-0.029787855964374034, 0.042664854319102594, 0.022518256073025638]]","(1:1:6,)"
"[[-0.023204424193646673, 0.009771067717150039, 0.02857942946310841], [-0.02210124100173363, 0.025184962738902732, 0.014289714731553077]]","(1:1:6,)"
"[[-0.012945679626644373, -0.005500272538813164, 0.01549299066652834], [-0.01605806497639473, 0.008217022612003856, 0.007746495333255632]]","(1:1:6,)"
