blocks,axes
"[[-0.03369474255854572, -0.5043303417941803, 6.572537197790024e-5], [-0.016847371279214512, -0.2521651708967441, 3.286268602374747e-5]]","(1:1:6,)"
"[[-0.027976170144905856, -0.41451002856282915, 7.334017109000628e-5], [-0.013988085072405985, -0.20725501428110638, 3.667008557739387e-5]]","(1:1:6,)"
"[[-0.022747009734045642, -0.3337669334283435, 7.487584820013214e-5], [-0.011373504866758956, -0.16688346671393503, 3.7437924131977323e-5]]","(1:1:6,)"
"[[-0.017626925251380158, -0.2572050981928622, 7.342687277759877e-5], [-0.008813462625455891, -0.12860254909623106, 3.6713436416526e-5]]","(1:1:6,)"
"[[-0.01305833865823989, -0.1904578173738801, 6.91688509890428e-5], [-0.006529169328912526, -0.09522890868677691, 3.458442551925958e-5]]","(1:1:6,)"
"[[-0.009272764495966482, -0.13611072029737117, 6.286514364043816e-5], [-0.004636382247914741, -0.0680553601485351, 3.143257185580019e-5]]","(1:1:6,)"
"[[-0.005854083722272698, -0.08843465898389762, 5.591545646190109e-5], [-0.002927041861072224, -0.04421732949181187, 2.7957728268386518e-5]]","(1:1:6,)"
"[[-0.0030564367570220614, -0.050263047174993, 4.856249849601606e-5], [-0.001528218378451231, -0.025131523587372574, 2.428124928931714e-5]]","(1:1:6,)"
"[[-0.0009510696029872746, -0.02200432905001593, 4.115334197736479e-5], [-0.0004755348013427759, -0.011002164524809102, 2.057667109551765e-5]]","(1:1:6,)"
"[[0.0007824757858247358, 0.0006613213605084362, 3.429936921467537e-5], [0.00039123789304825027, 0.0003306606804373468, 1.7149684704249646e-5]]","(1:1:6,)"
"[[0.0020402229232918036, 0.016788461692974852, 2.8036328815673583e-5], [0.0010201114617670469, 0.008394230846654823, 1.4018164500968748e-5]]","(1:1:6,)"
"[[0.0028382457636862944, 0.026898362191727088, 2.2351704861074418e-5], [0.0014191228819461223, 0.013449181096009956, 1.1175852472457766e-5]]","(1:1:6,)"
"[[0.003370291043777796, 0.03349271334820424, 1.7641236136764774e-5], [0.001685145521983223, 0.016746356674235286, 8.820618109279318e-6]]","(1:1:6,)"
"[[0.003623099190343618, 0.0366095586143797, 1.3694073545979102e-5], [0.0018115495952580008, 0.018304779307305067, 6.8470368166451515e-6]]","(1:1:6,)"
"[[0.0040608609567434695, 0.029810473955242608, 1.0266972811186056e-5], [0.0022224762624219294, 0.011805868449357052, 5.133486606543157e-6]]","(1:1:6,)"
"[[0.003908442941976636, 0.028636046505194718, 7.817150775713244e-6], [0.002135600901174314, 0.011218031391782192, 3.908575559275846e-6]]","(1:1:6,)"
"[[0.0036395025269009324, 0.026165190070375592, 5.946397555413997e-6], [0.0019904638357312572, 0.009982016499777755, 2.9731989237600352e-6]]","(1:1:6,)"
"[[0.004415221696571312, 0.005280501709937961, 4.297694556201213e-6], [0.0028850368232292587, -0.008292521022545072, 2.14884737003203e-6]]","(1:1:6,)"
"[[0.003956594563028428, 0.0018028186072299166, 3.4741969788422446e-6], [0.0026180985556902244, -0.010033561329002537, 1.737098561595044e-6]]","(1:1:6,)"
"[[0.0034826895451919287, -0.0017461011893330968, 2.968452499759946e-6], [0.0023435195680272885, -0.011810090674404852, 1.4842263070074358e-6]]","(1:1:6,)"
"[[0.004082142351972936, -0.018083332969948136, 2.387204209994117e-6], [0.0031058142631838212, -0.026225231502054327, 1.1936024084402417e-6]]","(1:1:6,)"
"[[0.0035881774813388283, -0.021596665709813112, 2.4670675253684008e-6], [0.0027996952704846833, -0.027985353761453374, 1.2335340282162434e-6]]","(1:1:6,)"
"[[0.0031225830036974277, -0.024627049474250894, 2.6531169784858776e-6], [0.0025077586797545614, -0.029503798293542584, 1.326558721197495e-6]]","(1:1:6,)"
"[[0.0037144954249759337, -0.0364161263023368, 2.5554837661351976e-6], [0.003232213645389573, -0.04039822036873672, 1.2777420126647428e-6]]","(1:1:6,)"
"[[0.0032996904287486664, -0.03923294382287883, 2.999614957395543e-6], [0.002948444601416233, -0.04181109192416616, 1.4998075847603758e-6]]","(1:1:6,)"
