blocks,axes
"[[7.635096996736569e-5, -0.005015607478664916, 1.1198461881172564e-6], [7.600580923422058e-5, -0.004754976635326949, 5.599230932162234e-7]]","(1:1:6,)"
"[[7.71346973062487e-5, -0.004369673062596738, 8.724043384752847e-7], [7.68102843627888e-5, -0.00391703537464583, 4.3620217052105934e-7]]","(1:1:6,)"
"[[6.636281564995095e-5, -0.003793692995003237, 6.443025228766371e-7], [6.717537938557522e-5, -0.003132786507370852, 3.2215126254387004e-7]]","(1:1:6,)"
"[[5.719812522594034e-5, -0.0032736239988180585, 4.511892082787316e-7], [5.8593950050854786e-5, -0.002800118375863038, 2.2559460504645129e-7]]","(1:1:6,)"
"[[6.297991580730961e-5, -0.002901724111280154, 2.9873554767850116e-7], [6.416553143502247e-5, -0.0025689233246372193, 1.4936777817275976e-7]]","(1:1:6,)"
"[[5.6126172161464403e-5, -0.002519415638285404, 1.6859129666997738e-7], [5.7108254730718875e-5, -0.002315721117354073, 8.429565229669806e-8]]","(1:1:6,)"
"[[5.00267480476076e-5, -0.0021874987287804704, 6.781621593782473e-8], [5.064164057459634e-5, -0.00208770294921463, 3.390811157954514e-8]]","(1:1:6,)"
"[[5.8193296404673595e-5, -0.0020462821672628615, -3.6841936155927075e-9], [5.803552370316273e-5, -0.0020133436223558026, -1.842098019603848e-9]]","(1:1:6,)"
"[[5.275395809598438e-5, -0.0018181462581433705, -5.8462583408344765e-8], [5.2100613819299e-5, -0.00184432334997834, -2.923129275718661e-8]]","(1:1:6,)"
"[[4.7557218974264914e-5, -0.001622479803391191, -9.476225957760683e-8], [4.647609065931736e-5, -0.0016915274050380974, -4.738113069094707e-8]]","(1:1:6,)"
